Algorithm,Allocation,Processes,MessageSize,Latency
linear,core,19,524288,588.88
linear,core,19,1048576,1213.78
linear,core,20,1,2.95
linear,core,20,2,2.95
linear,core,20,4,2.78
linear,core,20,8,2.58
linear,core,20,16,2.49
linear,core,20,32,2.91
linear,core,20,64,2.75
linear,core,20,128,4.61
linear,core,20,256,4.72
linear,core,20,512,4.94
linear,core,20,1024,6.58
linear,core,20,2048,7.92
linear,core,20,4096,10.91
linear,core,20,8192,15.85
linear,core,20,16384,21.90
linear,core,20,32768,41.66
linear,core,20,65536,91.21
linear,core,20,131072,189.22
linear,core,20,262144,383.84
linear,core,20,524288,763.00
linear,core,20,1048576,1451.26
linear,core,21,1,2.95
linear,core,21,2,2.99
linear,core,21,4,2.72
linear,core,21,8,2.51
linear,core,21,16,2.44
linear,core,21,32,2.89
linear,core,21,64,2.77
linear,core,21,128,4.80
linear,core,21,256,5.00
linear,core,21,512,5.04
linear,core,21,1024,6.82
linear,core,21,2048,8.27
linear,core,21,4096,11.53
linear,core,21,8192,16.89
linear,core,21,16384,20.83
linear,core,21,32768,45.16
linear,core,21,65536,98.34
linear,core,21,131072,202.95
linear,core,21,262144,407.86
linear,core,21,524288,826.48
linear,core,21,1048576,1567.20
linear,core,22,1,2.63
linear,core,22,2,2.58
linear,core,22,4,2.58
linear,core,22,8,2.51
linear,core,22,16,2.49
linear,core,22,32,2.99
linear,core,22,64,2.87
linear,core,22,128,5.22
linear,core,22,256,5.34
linear,core,22,512,5.58
linear,core,22,1024,7.47
linear,core,22,2048,8.92
linear,core,22,4096,12.47
linear,core,22,8192,18.16
linear,core,22,16384,23.48
linear,core,22,32768,46.01
linear,core,22,65536,101.07
linear,core,22,131072,211.14
linear,core,22,262144,425.56
linear,core,22,524288,858.58
linear,core,22,1048576,1635.32
linear,core,23,1,2.70
linear,core,23,2,2.41
linear,core,23,4,2.43
linear,core,23,8,2.48
linear,core,23,16,2.52
linear,core,23,32,3.12
linear,core,23,64,2.98
linear,core,23,128,5.54
linear,core,23,256,5.67
linear,core,23,512,5.90
linear,core,23,1024,8.01
linear,core,23,2048,9.68
linear,core,23,4096,13.37
linear,core,23,8192,21.11
linear,core,23,16384,21.95
linear,core,23,32768,47.83
linear,core,23,65536,104.62
linear,core,23,131072,216.18
linear,core,23,262144,434.52
linear,core,23,524288,884.03
linear,core,23,1048576,1682.82
linear,core,24,1,2.68
linear,core,24,2,2.76
linear,core,24,4,2.70
linear,core,24,8,2.65
linear,core,24,16,2.64
linear,core,24,32,3.18
linear,core,24,64,3.04
linear,core,24,128,5.92
linear,core,24,256,6.06
linear,core,24,512,6.45
linear,core,24,1024,8.58
linear,core,24,2048,10.21
linear,core,24,4096,14.21
linear,core,24,8192,21.48
linear,core,24,16384,23.15
linear,core,24,32768,50.98
linear,core,24,65536,112.79
linear,core,24,131072,230.07
linear,core,24,262144,464.79
linear,core,24,524288,934.37
linear,core,24,1048576,1803.55
linear,core,25,1,2.25
linear,core,25,2,2.30
linear,core,25,4,2.28
linear,core,25,8,2.31
linear,core,25,16,2.24
linear,core,25,32,2.94
linear,core,25,64,2.80
linear,core,25,128,5.68
linear,core,25,256,5.86
linear,core,25,512,6.18
linear,core,25,1024,8.43
linear,core,25,2048,10.23
linear,core,25,4096,15.56
linear,core,25,8192,21.38
linear,core,25,16384,23.08
linear,core,25,32768,51.22
linear,core,25,65536,109.36
linear,core,25,131072,221.78
linear,core,25,262144,446.61
linear,core,25,524288,792.55
linear,core,25,1048576,1625.40
linear,core,26,1,2.39
linear,core,26,2,2.32
linear,core,26,4,2.38
linear,core,26,8,2.34
linear,core,26,16,2.36
linear,core,26,32,2.87
linear,core,26,64,2.87
linear,core,26,128,5.92
linear,core,26,256,6.14
linear,core,26,512,6.47
linear,core,26,1024,8.81
linear,core,26,2048,10.84
linear,core,26,4096,15.32
linear,core,26,8192,22.37
linear,core,26,16384,23.16
linear,core,26,32768,50.77
linear,core,26,65536,107.08
linear,core,26,131072,218.04
linear,core,26,262144,438.89
linear,core,26,524288,887.98
linear,core,26,1048576,1709.66
linear,core,27,1,2.41
linear,core,27,2,2.39
linear,core,27,4,2.36
linear,core,27,8,2.34
linear,core,27,16,2.35
linear,core,27,32,3.04
linear,core,27,64,2.99
linear,core,27,128,6.17
linear,core,27,256,6.32
linear,core,27,512,6.60
linear,core,27,1024,9.15
linear,core,27,2048,12.01
linear,core,27,4096,16.03
linear,core,27,8192,23.33
linear,core,27,16384,22.45
linear,core,27,32768,48.54
linear,core,27,65536,104.26
linear,core,27,131072,211.58
linear,core,27,262144,423.31
linear,core,27,524288,856.51
linear,core,27,1048576,1645.00
linear,core,28,1,2.44
linear,core,28,2,2.46
linear,core,28,4,2.44
linear,core,28,8,2.43
linear,core,28,16,2.46
linear,core,28,32,3.00
linear,core,28,64,3.08
linear,core,28,128,6.37
linear,core,28,256,6.57
linear,core,28,512,6.90
linear,core,28,1024,9.51
linear,core,28,2048,11.66
linear,core,28,4096,17.79
linear,core,28,8192,24.34
linear,core,28,16384,22.11
linear,core,28,32768,46.93
linear,core,28,65536,100.72
linear,core,28,131072,205.89
linear,core,28,262144,412.46
linear,core,28,524288,830.35
linear,core,28,1048576,1594.56
linear,core,29,1,2.71
linear,core,29,2,2.75
linear,core,29,4,2.71
linear,core,29,8,2.72
linear,core,29,16,2.77
linear,core,29,32,3.26
linear,core,29,64,3.32
linear,core,29,128,6.85
linear,core,29,256,7.11
linear,core,29,512,7.50
linear,core,29,1024,10.18
linear,core,29,2048,12.37
linear,core,29,4096,17.58
linear,core,29,8192,25.40
linear,core,29,16384,22.12
linear,core,29,32768,46.51
linear,core,29,65536,98.56
linear,core,29,131072,201.80
linear,core,29,262144,404.77
linear,core,29,524288,822.62
linear,core,29,1048576,1431.56
linear,core,30,1,2.75
linear,core,30,2,2.77
linear,core,30,4,2.77
linear,core,30,8,2.72
linear,core,30,16,2.80
linear,core,30,32,3.48
linear,core,30,64,3.41
linear,core,30,128,7.02
linear,core,30,256,7.30
linear,core,30,512,7.65
linear,core,30,1024,10.34
linear,core,30,2048,13.71
linear,core,30,4096,18.29
linear,core,30,8192,26.36
linear,core,30,16384,21.91
linear,core,30,32768,45.99
linear,core,30,65536,98.03
linear,core,30,131072,201.12
linear,core,30,262144,403.27
linear,core,30,524288,815.76
linear,core,30,1048576,1395.06
linear,core,31,1,2.74
linear,core,31,2,2.83
linear,core,31,4,2.77
linear,core,31,8,2.77
linear,core,31,16,2.76
linear,core,31,32,3.38
linear,core,31,64,3.36
linear,core,31,128,7.30
linear,core,31,256,7.58
linear,core,31,512,7.90
linear,core,31,1024,10.76
linear,core,31,2048,13.36
linear,core,31,4096,18.65
linear,core,31,8192,27.13
linear,core,31,16384,21.45
linear,core,31,32768,45.48
linear,core,31,65536,96.15
linear,core,31,131072,197.31
linear,core,31,262144,396.72
linear,core,31,524288,722.30
linear,core,31,1048576,1435.20
linear,core,32,1,3.35
linear,core,32,2,3.41
linear,core,32,4,3.38
linear,core,32,8,3.38
linear,core,32,16,3.37
linear,core,32,32,3.87
linear,core,32,64,3.91
linear,core,32,128,7.89
linear,core,32,256,8.09
linear,core,32,512,8.55
linear,core,32,1024,11.49
linear,core,32,2048,15.16
linear,core,32,4096,19.89
linear,core,32,8192,28.53
linear,core,32,16384,20.94
linear,core,32,32768,43.61
linear,core,32,65536,91.16
linear,core,32,131072,189.03
linear,core,32,262144,378.98
linear,core,32,524288,760.60
linear,core,32,1048576,1217.92
linear,core,33,1,4.84
linear,core,33,2,4.96
linear,core,33,4,4.93
linear,core,33,8,4.94
linear,core,33,16,4.91
linear,core,33,32,5.43
linear,core,33,64,5.11
linear,core,33,128,9.39
linear,core,33,256,9.67
linear,core,33,512,10.13
linear,core,33,1024,13.06
linear,core,33,2048,16.95
linear,core,33,4096,21.52
linear,core,33,8192,29.76
linear,core,33,16384,23.79
linear,core,33,32768,47.18
linear,core,33,65536,96.62
linear,core,33,131072,199.17
linear,core,33,262144,398.90
linear,core,33,524288,808.79
linear,core,33,1048576,1543.55
linear,core,34,1,4.80
linear,core,34,2,4.89
linear,core,34,4,5.01
linear,core,34,8,4.87
linear,core,34,16,4.88
linear,core,34,32,5.38
linear,core,34,64,5.07
linear,core,34,128,9.25
linear,core,34,256,9.55
linear,core,34,512,10.35
linear,core,34,1024,13.00
linear,core,34,2048,19.09
linear,core,34,4096,20.89
linear,core,34,8192,30.27
linear,core,34,16384,23.54
linear,core,34,32768,45.74
linear,core,34,65536,94.23
linear,core,34,131072,197.93
linear,core,34,262144,396.72
linear,core,34,524288,803.83
linear,core,34,1048576,1538.68
linear,core,35,1,4.57
linear,core,35,2,4.64
linear,core,35,4,4.59
linear,core,35,8,4.61
linear,core,35,16,4.60
linear,core,35,32,5.14
linear,core,35,64,4.96
linear,core,35,128,9.01
linear,core,35,256,9.32
linear,core,35,512,9.90
linear,core,35,1024,13.13
linear,core,35,2048,17.35
linear,core,35,4096,21.06
linear,core,35,8192,30.64
linear,core,35,16384,23.17
linear,core,35,32768,45.58
linear,core,35,65536,93.85
linear,core,35,131072,198.11
linear,core,35,262144,396.01
linear,core,35,524288,808.60
linear,core,35,1048576,1546.19
linear,core,36,1,4.64
linear,core,36,2,4.66
linear,core,36,4,4.83
linear,core,36,8,4.64
linear,core,36,16,4.64
linear,core,36,32,5.26
linear,core,36,64,5.05
linear,core,36,128,9.11
linear,core,36,256,9.50
linear,core,36,512,10.18
linear,core,36,1024,13.16
linear,core,36,2048,16.09
linear,core,36,4096,21.99
linear,core,36,8192,31.52
linear,core,36,16384,23.69
linear,core,36,32768,46.08
linear,core,36,65536,94.60
linear,core,36,131072,200.91
linear,core,36,262144,403.04
linear,core,36,524288,813.33
linear,core,36,1048576,1563.49
linear,core,37,1,4.22
linear,core,37,2,4.29
linear,core,37,4,4.21
linear,core,37,8,4.23
linear,core,37,16,4.22
linear,core,37,32,4.79
linear,core,37,64,4.71
linear,core,37,128,8.63
linear,core,37,256,8.97
linear,core,37,512,9.53
linear,core,37,1024,12.70
linear,core,37,2048,15.69
linear,core,37,4096,21.83
linear,core,37,8192,32.04
linear,core,37,16384,23.84
linear,core,37,32768,45.12
linear,core,37,65536,93.08
linear,core,37,131072,201.94
linear,core,37,262144,401.90
linear,core,37,524288,807.99
linear,core,37,1048576,1404.39
linear,core,38,1,4.30
linear,core,38,2,4.34
linear,core,38,4,4.30
linear,core,38,8,4.27
linear,core,38,16,4.28
linear,core,38,32,4.78
linear,core,38,64,4.64
linear,core,38,128,8.83
linear,core,38,256,9.15
linear,core,38,512,9.65
linear,core,38,1024,12.82
linear,core,38,2048,17.15
linear,core,38,4096,22.72
linear,core,38,8192,32.82
linear,core,38,16384,24.29
linear,core,38,32768,45.04
linear,core,38,65536,93.42
linear,core,38,131072,203.82
linear,core,38,262144,404.09
linear,core,38,524288,821.28
linear,core,38,1048576,1589.67
linear,core,39,1,4.30
linear,core,39,2,4.31
linear,core,39,4,4.24
linear,core,39,8,4.25
linear,core,39,16,4.24
linear,core,39,32,4.73
linear,core,39,64,4.74
linear,core,39,128,8.83
linear,core,39,256,9.33
linear,core,39,512,9.67
linear,core,39,1024,12.87
linear,core,39,2048,16.63
linear,core,39,4096,23.08
linear,core,39,8192,33.55
linear,core,39,16384,25.01
linear,core,39,32768,46.58
linear,core,39,65536,94.83
linear,core,39,131072,208.33
linear,core,39,262144,417.92
linear,core,39,524288,832.67
linear,core,39,1048576,1590.90
linear,core,40,1,4.46
linear,core,40,2,4.43
linear,core,40,4,4.42
linear,core,40,8,4.42
linear,core,40,16,4.44
linear,core,40,32,4.93
linear,core,40,64,5.09
linear,core,40,128,8.85
linear,core,40,256,9.24
linear,core,40,512,9.81
linear,core,40,1024,13.13
linear,core,40,2048,17.18
linear,core,40,4096,23.63
linear,core,40,8192,34.17
linear,core,40,16384,25.05
linear,core,40,32768,46.43
linear,core,40,65536,94.55
linear,core,40,131072,209.86
linear,core,40,262144,421.82
linear,core,40,524288,845.59
linear,core,40,1048576,1646.00
linear,core,41,1,4.43
linear,core,41,2,4.48
linear,core,41,4,4.46
linear,core,41,8,4.48
linear,core,41,16,4.47
linear,core,41,32,4.93
linear,core,41,64,4.95
linear,core,41,128,9.36
linear,core,41,256,9.78
linear,core,41,512,10.32
linear,core,41,1024,14.95
linear,core,41,2048,16.98
linear,core,41,4096,25.27
linear,core,41,8192,34.95
linear,core,41,16384,24.41
linear,core,41,32768,47.42
linear,core,41,65536,96.92
linear,core,41,131072,215.18
linear,core,41,262144,429.68
linear,core,41,524288,865.52
linear,core,41,1048576,1679.63
linear,core,42,1,4.44
linear,core,42,2,4.43
linear,core,42,4,4.41
linear,core,42,8,4.42
linear,core,42,16,4.47
linear,core,42,32,4.89
linear,core,42,64,4.94
linear,core,42,128,9.30
linear,core,42,256,9.72
linear,core,42,512,10.32
linear,core,42,1024,14.74
linear,core,42,2048,17.03
linear,core,42,4096,24.86
linear,core,42,8192,35.49
linear,core,42,16384,24.66
linear,core,42,32768,46.68
linear,core,42,65536,95.07
linear,core,42,131072,214.69
linear,core,42,262144,428.86
linear,core,42,524288,870.02
linear,core,42,1048576,1689.67
linear,core,43,1,4.45
linear,core,43,2,4.49
linear,core,43,4,4.48
linear,core,43,8,4.47
linear,core,43,16,4.49
linear,core,43,32,4.91
linear,core,43,64,5.04
linear,core,43,128,9.52
linear,core,43,256,9.94
linear,core,43,512,11.17
linear,core,43,1024,13.90
linear,core,43,2048,17.98
linear,core,43,4096,26.08
linear,core,43,8192,36.39
linear,core,43,16384,25.07
linear,core,43,32768,47.43
linear,core,43,65536,97.11
linear,core,43,131072,220.07
linear,core,43,262144,441.57
linear,core,43,524288,835.82
linear,core,43,1048576,1660.94
linear,core,44,1,4.51
linear,core,44,2,4.54
linear,core,44,4,4.46
linear,core,44,8,4.45
linear,core,44,16,4.47
linear,core,44,32,4.91
linear,core,44,64,5.09
linear,core,44,128,9.65
linear,core,44,256,10.00
linear,core,44,512,10.50
linear,core,44,1024,13.98
linear,core,44,2048,20.93
linear,core,44,4096,27.01
linear,core,44,8192,37.27
linear,core,44,16384,25.52
linear,core,44,32768,48.31
linear,core,44,65536,98.03
linear,core,44,131072,224.87
linear,core,44,262144,394.85
linear,core,44,524288,800.07
linear,core,44,1048576,1651.42
linear,core,45,1,4.63
linear,core,45,2,4.61
linear,core,45,4,4.62
linear,core,45,8,4.61
linear,core,45,16,4.62
linear,core,45,32,5.07
linear,core,45,64,5.46
linear,core,45,128,9.86
linear,core,45,256,10.27
linear,core,45,512,10.77
linear,core,45,1024,14.64
linear,core,45,2048,19.65
linear,core,45,4096,26.46
linear,core,45,8192,38.36
linear,core,45,16384,26.07
linear,core,45,32768,50.04
linear,core,45,65536,99.03
linear,core,45,131072,229.67
linear,core,45,262144,458.88
linear,core,45,524288,928.94
linear,core,45,1048576,1809.37
linear,core,46,1,4.70
linear,core,46,2,4.67
linear,core,46,4,4.69
linear,core,46,8,4.64
linear,core,46,16,4.74
linear,core,46,32,5.19
linear,core,46,64,5.60
linear,core,46,128,10.05
linear,core,46,256,10.54
linear,core,46,512,11.05
linear,core,46,1024,15.91
linear,core,46,2048,18.65
linear,core,46,4096,26.92
linear,core,46,8192,39.01
linear,core,46,16384,26.50
linear,core,46,32768,51.29
linear,core,46,65536,101.86
linear,core,46,131072,236.86
linear,core,46,262144,474.45
linear,core,46,524288,951.06
linear,core,46,1048576,1663.85
linear,core,47,1,4.79
linear,core,47,2,4.78
linear,core,47,4,4.73
linear,core,47,8,4.72
linear,core,47,16,4.77
linear,core,47,32,5.23
linear,core,47,64,5.44
linear,core,47,128,10.37
linear,core,47,256,10.75
linear,core,47,512,11.35
linear,core,47,1024,15.15
linear,core,47,2048,19.03
linear,core,47,4096,27.39
linear,core,47,8192,39.95
linear,core,47,16384,26.95
linear,core,47,32768,51.39
linear,core,47,65536,101.94
linear,core,47,131072,239.50
linear,core,47,262144,479.47
linear,core,47,524288,962.89
linear,core,47,1048576,1870.69
linear,core,48,1,4.96
linear,core,48,2,5.00
linear,core,48,4,4.92
linear,core,48,8,4.94
linear,core,48,16,4.96
