CPU_Pair,MessageSize,Latency
0,5,262144,16.32
0,5,524288,28.65
0,5,1048576,58.91
0,5,2097152,154.61
0,5,4194304,327.82
0,6,1,0.19
0,6,2,0.19
0,6,4,0.19
0,6,8,0.19
0,6,16,0.19
0,6,32,0.24
0,6,64,0.24
0,6,128,0.33
0,6,256,0.37
0,6,512,0.43
0,6,1024,0.55
0,6,2048,0.75
0,6,4096,1.22
0,6,8192,2.04
0,6,16384,3.29
0,6,32768,4.98
0,6,65536,8.43
0,6,131072,15.09
0,6,262144,16.51
0,6,524288,29.06
0,6,1048576,61.30
0,6,2097152,153.90
0,6,4194304,336.75
0,7,1,0.18
0,7,2,0.19
0,7,4,0.18
0,7,8,0.18
0,7,16,0.18
0,7,32,0.23
0,7,64,0.23
0,7,128,0.33
0,7,256,0.36
0,7,512,0.43
0,7,1024,0.55
0,7,2048,0.75
0,7,4096,1.21
0,7,8192,2.05
0,7,16384,3.17
0,7,32768,4.98
0,7,65536,8.62
0,7,131072,15.14
0,7,262144,16.51
0,7,524288,29.33
0,7,1048576,59.31
0,7,2097152,156.54
0,7,4194304,329.09
0,8,1,0.19
0,8,2,0.19
0,8,4,0.19
0,8,8,0.19
0,8,16,0.19
0,8,32,0.24
0,8,64,0.24
0,8,128,0.33
0,8,256,0.37
0,8,512,0.44
0,8,1024,0.55
0,8,2048,0.75
0,8,4096,1.22
0,8,8192,2.05
0,8,16384,3.16
0,8,32768,4.99
0,8,65536,8.60
0,8,131072,15.14
0,8,262144,16.45
0,8,524288,28.98
0,8,1048576,59.84
0,8,2097152,156.58
0,8,4194304,327.36
0,9,1,0.18
0,9,2,0.18
0,9,4,0.18
0,9,8,0.18
0,9,16,0.18
0,9,32,0.24
0,9,64,0.24
0,9,128,0.33
0,9,256,0.36
0,9,512,0.42
0,9,1024,0.54
0,9,2048,0.75
0,9,4096,1.21
0,9,8192,2.03
0,9,16384,3.14
0,9,32768,4.92
0,9,65536,8.31
0,9,131072,14.82
0,9,262144,16.21
0,9,524288,28.81
0,9,1048576,58.49
0,9,2097152,157.22
0,9,4194304,325.50
0,10,1,0.18
0,10,2,0.18
0,10,4,0.18
0,10,8,0.19
0,10,16,0.18
0,10,32,0.38
0,10,64,0.24
0,10,128,0.33
0,10,256,0.36
0,10,512,0.43
0,10,1024,0.54
0,10,2048,0.75
0,10,4096,1.20
0,10,8192,2.04
0,10,16384,3.14
0,10,32768,5.11
0,10,65536,8.38
0,10,131072,14.92
0,10,262144,16.22
0,10,524288,28.60
0,10,1048576,57.81
0,10,2097152,156.75
0,10,4194304,329.25
0,11,1,0.18
0,11,2,0.20
0,11,4,0.19
0,11,8,0.19
0,11,16,0.19
0,11,32,0.25
0,11,64,0.24
0,11,128,0.33
0,11,256,0.35
0,11,512,0.43
0,11,1024,0.56
0,11,2048,0.76
0,11,4096,1.20
0,11,8192,2.05
0,11,16384,3.16
0,11,32768,5.01
0,11,65536,8.57
0,11,131072,15.32
0,11,262144,16.45
0,11,524288,28.63
0,11,1048576,58.44
0,11,2097152,156.66
0,11,4194304,326.89
0,12,1,12720.93
0,12,2,12620.24
0,12,4,12686.48
0,12,8,12738.77
0,12,16,12628.48
0,12,32,12627.04
0,12,64,12738.98
0,12,128,12713.54
0,12,256,12623.98
0,12,512,12758.48
0,12,1024,12650.98
0,12,2048,12654.48
0,12,4096,12782.74
0,12,8192,12695.27
0,12,16384,12705.47
0,12,32768,12681.48
0,12,65536,12698.50
0,12,131072,12702.63
0,12,262144,12825.98
0,12,524288,12766.46
0,12,1048576,12853.95
0,12,2097152,12732.45
0,12,4194304,12868.44
0,13,1,13151.96
0,13,2,13101.18
0,13,4,13021.48
0,13,8,13012.48
0,13,16,13213.48
0,13,32,13204.98
0,13,64,13328.48
0,13,128,12848.98
0,13,256,13051.48
0,13,512,12984.27
0,13,1024,12984.60
0,13,2048,13199.98
0,13,4096,13136.98
0,13,8192,13200.66
0,13,16384,13261.98
0,13,32768,13137.98
0,13,65536,13213.98
0,13,131072,13179.47
0,13,262144,12545.59
0,13,524288,12632.47
0,13,1048576,12781.46
0,13,2097152,12781.45
0,13,4194304,12776.06
